"Total_Transaction","Total_Quantity","Total_Revenue","CATEGORY","UN_TRANSACTION_DATE"
5,15,1861,"Clothing","1/24/2026"
4,14,3593,"Electronics","1/24/2026"
1,1,243,"Grocery","1/24/2026"
5,22,5334,"Home","1/24/2026"
3,11,3408,"Sports","1/24/2026"
4,15,1494,"Clothing","1/25/2025"
2,9,3387,"Electronics","1/25/2025"
3,5,983,"Grocery","1/25/2025"
6,22,6776,"Home","1/25/2025"
6,17,4976,"Sports","1/25/2025"
5,12,3060,"Clothing","1/25/2026"
5,13,2127,"Electronics","1/25/2026"
2,6,1537,"Grocery","1/25/2026"
3,8,3052,"Home","1/25/2026"
2,2,455,"Sports","1/25/2026"
9,23,5518,"Clothing","1/26/2025"
2,6,1627,"Electronics","1/26/2025"
3,13,2756,"Grocery","1/26/2025"
8,20,5104,"Home","1/26/2025"
8,26,8104,"Sports","1/26/2025"
6,12,1209,"Clothing","1/26/2026"
3,14,2907,"Grocery","1/26/2026"
3,6,1681,"Home","1/26/2026"
1,1,191,"Sports","1/26/2026"
9,28,4725,"Clothing","1/27/2025"
11,32,5335,"Electronics","1/27/2025"
6,17,2740,"Grocery","1/27/2025"
10,27,7351,"Home","1/27/2025"
14,37,10843,"Sports","1/27/2025"
4,14,2793,"Clothing","1/27/2026"
3,12,1942,"Electronics","1/27/2026"
2,9,2797,"Grocery","1/27/2026"
6,16,4774,"Home","1/27/2026"
4,14,1736,"Sports","1/27/2026"
6,16,2833,"Clothing","1/28/2025"
2,6,925,"Electronics","1/28/2025"
3,9,1887,"Home","1/28/2025"
4,8,1952,"Sports","1/28/2025"
2,6,811,"Clothing","1/28/2026"
2,4,986,"Electronics","1/28/2026"
2,6,1010,"Grocery","1/28/2026"
1,5,2173,"Home","1/28/2026"
1,1,16,"Sports","1/28/2026"
6,19,2576,"Clothing","1/29/2025"
1,1,304,"Electronics","1/29/2025"
5,14,3601,"Grocery","1/29/2025"
7,20,7025,"Home","1/29/2025"
6,20,7252,"Sports","1/29/2025"
3,11,3082,"Grocery","1/29/2026"
5,14,3344,"Home","1/29/2026"
2,8,1706,"Sports","1/29/2026"
4,13,1324,"Clothing","1/3/2025"
2,6,981,"Electronics","1/3/2025"
5,16,5131,"Grocery","1/3/2025"
5,11,1688,"Home","1/3/2025"
8,28,6180,"Sports","1/3/2025"
4,16,2852,"Clothing","1/3/2026"
1,1,300,"Electronics","1/3/2026"
3,13,4072,"Grocery","1/3/2026"
1,3,1169,"Home","1/3/2026"
2,3,939,"Sports","1/3/2026"
4,9,1420,"Clothing","1/30/2025"
4,12,3668,"Grocery","1/30/2025"
2,6,2158,"Home","1/30/2025"
4,11,2464,"Sports","1/30/2025"
4,12,2071,"Clothing","1/30/2026"
3,14,4264,"Electronics","1/30/2026"
2,10,2502,"Grocery","1/30/2026"
2,9,3024,"Home","1/30/2026"
3,11,2825,"Sports","1/30/2026"
6,15,2840,"Clothing","1/31/2025"
1,4,1794,"Electronics","1/31/2025"
4,12,3916,"Grocery","1/31/2025"
6,15,4427,"Home","1/31/2025"
4,11,1356,"Sports","1/31/2025"
4,14,2807,"Clothing","1/31/2026"
3,3,504,"Electronics","1/31/2026"
3,6,1968,"Grocery","1/31/2026"
1,4,227,"Home","1/31/2026"
6,14,3488,"Sports","1/31/2026"
2,4,1112,"Clothing","1/4/2025"
5,11,1500,"Electronics","1/4/2025"
8,26,6184,"Grocery","1/4/2025"
3,10,2751,"Home","1/4/2025"
2,7,2150,"Sports","1/4/2025"
7,30,4997,"Clothing","1/4/2026"
4,12,2482,"Electronics","1/4/2026"
7,25,6337,"Grocery","1/4/2026"
8,25,6158,"Home","1/4/2026"
4,10,3165,"Sports","1/4/2026"
5,15,2275,"Clothing","1/5/2025"
6,21,5217,"Electronics","1/5/2025"
5,14,4306,"Grocery","1/5/2025"
7,22,6410,"Home","1/5/2025"
5,15,2822,"Sports","1/5/2025"
3,13,3033,"Clothing","1/5/2026"
3,8,1453,"Electronics","1/5/2026"
2,4,1072,"Grocery","1/5/2026"
3,5,1356,"Home","1/5/2026"
1,4,1365,"Sports","1/5/2026"
10,33,5424,"Clothing","1/6/2025"
2,4,815,"Electronics","1/6/2025"
2,3,780,"Grocery","1/6/2025"
8,21,7692,"Home","1/6/2025"
4,11,1987,"Sports","1/6/2025"
5,10,2046,"Clothing","1/6/2026"
5,18,3254,"Electronics","1/6/2026"
4,13,2663,"Grocery","1/6/2026"
11,38,9884,"Home","1/6/2026"
7,23,5863,"Sports","1/6/2026"
4,10,1912,"Clothing","1/7/2025"
2,4,1033,"Electronics","1/7/2025"
3,7,2190,"Grocery","1/7/2025"
9,23,3927,"Home","1/7/2025"
3,8,525,"Sports","1/7/2025"
4,13,2184,"Clothing","1/7/2026"
3,9,1632,"Electronics","1/7/2026"
4,10,1239,"Grocery","1/7/2026"
5,17,3826,"Home","1/7/2026"
4,15,2858,"Sports","1/7/2026"
4,14,1484,"Clothing","1/8/2025"
2,7,2742,"Electronics","1/8/2025"
4,16,3760,"Grocery","1/8/2025"
4,10,2794,"Home","1/8/2025"
9,29,7707,"Sports","1/8/2025"
2,3,911,"Clothing","1/8/2026"
2,8,2567,"Grocery","1/8/2026"
2,6,1088,"Home","1/8/2026"
2,8,2892,"Sports","1/8/2026"
4,11,1627,"Clothing","1/9/2025"
3,8,1388,"Electronics","1/9/2025"
2,5,1025,"Grocery","1/9/2025"
8,22,6409,"Home","1/9/2025"
6,19,5797,"Sports","1/9/2025"
1,5,690,"Clothing","1/9/2026"
2,9,2645,"Electronics","1/9/2026"
1,1,261,"Grocery","1/9/2026"
10,31,7567,"Home","1/9/2026"
2,7,2544,"Sports","1/9/2026"
5,11,2195,"Clothing","10/1/2024"
4,13,3370,"Electronics","10/1/2024"
5,12,2925,"Grocery","10/1/2024"
7,24,7223,"Home","10/1/2024"
5,12,2703,"Sports","10/1/2024"
7,20,3216,"Clothing","10/1/2025"
2,6,1931,"Electronics","10/1/2025"
6,12,2656,"Grocery","10/1/2025"
4,13,2709,"Home","10/1/2025"
1,2,675,"Sports","10/1/2025"
3,9,1071,"Clothing","10/10/2024"
6,15,5370,"Electronics","10/10/2024"
9,30,8201,"Grocery","10/10/2024"
11,33,8363,"Home","10/10/2024"
8,13,4177,"Sports","10/10/2024"
1,3,563,"Clothing","10/10/2025"
2,4,738,"Electronics","10/10/2025"
2,7,1253,"Grocery","10/10/2025"
8,27,6136,"Home","10/10/2025"
2,8,3412,"Sports","10/10/2025"
6,21,2798,"Clothing","10/11/2024"
5,13,2774,"Electronics","10/11/2024"
3,7,1237,"Grocery","10/11/2024"
15,45,12733,"Home","10/11/2024"
5,14,2708,"Sports","10/11/2024"
5,10,1438,"Clothing","10/11/2025"
6,22,6437,"Electronics","10/11/2025"
2,5,1694,"Grocery","10/11/2025"
5,17,5672,"Home","10/11/2025"
5,12,2909,"Sports","10/11/2025"
5,9,1412,"Clothing","10/12/2024"
6,22,3520,"Electronics","10/12/2024"
4,13,3499,"Grocery","10/12/2024"
2,6,1844,"Home","10/12/2024"
7,22,3147,"Sports","10/12/2024"
2,8,1539,"Clothing","10/12/2025"
4,14,1897,"Electronics","10/12/2025"
3,5,1220,"Grocery","10/12/2025"
4,7,2126,"Home","10/12/2025"
6,17,4731,"Sports","10/12/2025"
4,17,3321,"Clothing","10/13/2024"
2,2,333,"Electronics","10/13/2024"
12,37,7128,"Grocery","10/13/2024"
6,16,3117,"Home","10/13/2024"
4,9,2765,"Sports","10/13/2024"
1,3,392,"Clothing","10/13/2025"
3,9,1507,"Electronics","10/13/2025"
2,2,416,"Grocery","10/13/2025"
6,17,6452,"Home","10/13/2025"
3,10,1114,"Sports","10/13/2025"
7,18,3572,"Clothing","10/14/2024"
2,7,1842,"Electronics","10/14/2024"
2,7,1714,"Grocery","10/14/2024"
5,18,5324,"Home","10/14/2024"
3,11,3446,"Sports","10/14/2024"
5,8,1028,"Clothing","10/14/2025"
4,4,988,"Electronics","10/14/2025"
1,3,1240,"Grocery","10/14/2025"
5,8,2141,"Home","10/14/2025"
1,3,876,"Sports","10/14/2025"
7,29,4726,"Clothing","10/15/2024"
5,14,3490,"Electronics","10/15/2024"
3,6,1541,"Grocery","10/15/2024"
2,8,2513,"Home","10/15/2024"
3,7,2376,"Sports","10/15/2024"
4,15,2605,"Clothing","10/15/2025"
2,7,2651,"Grocery","10/15/2025"
5,16,4694,"Home","10/15/2025"
2,6,1902,"Clothing","10/16/2024"
3,8,1833,"Electronics","10/16/2024"
6,19,5493,"Grocery","10/16/2024"
5,14,3384,"Home","10/16/2024"
5,13,3524,"Sports","10/16/2024"
6,21,3111,"Clothing","10/16/2025"
2,6,1600,"Electronics","10/16/2025"
7,19,4298,"Grocery","10/16/2025"
3,9,3558,"Home","10/16/2025"
4,13,2666,"Sports","10/16/2025"
4,8,1294,"Clothing","10/17/2024"
3,8,2871,"Electronics","10/17/2024"
4,16,4925,"Grocery","10/17/2024"
3,12,3961,"Home","10/17/2024"
7,24,7071,"Sports","10/17/2024"
1,4,959,"Electronics","10/17/2025"
5,18,6544,"Home","10/17/2025"
6,19,4937,"Sports","10/17/2025"
5,11,2222,"Clothing","10/18/2024"
2,2,658,"Electronics","10/18/2024"
3,13,2793,"Grocery","10/18/2024"
2,8,1955,"Home","10/18/2024"
11,26,5767,"Sports","10/18/2024"
6,20,3565,"Clothing","10/18/2025"
4,7,1223,"Electronics","10/18/2025"
7,23,6314,"Grocery","10/18/2025"
4,8,2373,"Home","10/18/2025"
4,14,3395,"Sports","10/18/2025"
1,4,392,"Clothing","10/19/2024"
7,22,4453,"Electronics","10/19/2024"
4,8,2876,"Grocery","10/19/2024"
6,13,3750,"Home","10/19/2024"
3,10,2158,"Sports","10/19/2024"
4,9,1286,"Clothing","10/19/2025"
2,7,834,"Electronics","10/19/2025"
3,8,2315,"Grocery","10/19/2025"
4,10,3426,"Home","10/19/2025"
3,8,1686,"Sports","10/19/2025"
3,9,1490,"Clothing","10/2/2024"
5,11,1723,"Electronics","10/2/2024"
2,10,2340,"Grocery","10/2/2024"
2,7,2739,"Home","10/2/2024"
7,21,5340,"Sports","10/2/2024"
1,4,1026,"Clothing","10/2/2025"
2,4,407,"Electronics","10/2/2025"
4,13,1827,"Grocery","10/2/2025"
6,20,6581,"Home","10/2/2025"
4,16,2705,"Sports","10/2/2025"
10,22,3153,"Clothing","10/20/2024"
1,2,716,"Electronics","10/20/2024"
3,8,2356,"Home","10/20/2024"
4,14,3640,"Sports","10/20/2024"
3,12,2016,"Clothing","10/20/2025"
4,12,2755,"Electronics","10/20/2025"
3,7,959,"Home","10/20/2025"
6,14,1888,"Clothing","10/21/2024"
10,29,6637,"Electronics","10/21/2024"
7,22,5821,"Grocery","10/21/2024"
11,37,8143,"Home","10/21/2024"
5,9,2560,"Sports","10/21/2024"
1,5,544,"Clothing","10/21/2025"
2,5,1249,"Electronics","10/21/2025"
4,12,2890,"Grocery","10/21/2025"
2,6,550,"Home","10/21/2025"
2,7,2175,"Sports","10/21/2025"
4,17,2868,"Clothing","10/22/2024"
4,12,2164,"Electronics","10/22/2024"
6,17,3710,"Grocery","10/22/2024"
6,19,5030,"Home","10/22/2024"
4,11,3555,"Sports","10/22/2024"
4,11,1413,"Clothing","10/22/2025"
4,19,3295,"Electronics","10/22/2025"
5,17,3439,"Home","10/22/2025"
4,14,3394,"Sports","10/22/2025"
4,9,1313,"Clothing","10/23/2024"
4,15,2666,"Electronics","10/23/2024"
9,26,5542,"Grocery","10/23/2024"
5,13,3507,"Home","10/23/2024"
7,16,4017,"Sports","10/23/2024"
5,17,2756,"Clothing","10/23/2025"
4,10,1945,"Electronics","10/23/2025"
6,18,4545,"Grocery","10/23/2025"
6,16,4505,"Home","10/23/2025"
6,22,5681,"Sports","10/23/2025"
2,5,715,"Clothing","10/24/2024"
2,8,2579,"Electronics","10/24/2024"
3,12,3019,"Grocery","10/24/2024"
2,7,3118,"Home","10/24/2024"
5,12,3661,"Sports","10/24/2024"
5,17,2104,"Clothing","10/24/2025"
6,19,2812,"Grocery","10/24/2025"
4,13,2757,"Home","10/24/2025"
1,4,1365,"Sports","10/24/2025"
4,6,509,"Clothing","10/25/2024"
3,7,1227,"Electronics","10/25/2024"
2,7,2116,"Grocery","10/25/2024"
5,14,3384,"Home","10/25/2024"
3,11,2999,"Sports","10/25/2024"
8,14,2504,"Clothing","10/25/2025"
4,14,3100,"Grocery","10/25/2025"
3,7,2011,"Home","10/25/2025"
6,19,6048,"Sports","10/25/2025"
7,17,2977,"Clothing","10/26/2024"
3,8,980,"Electronics","10/26/2024"
10,35,8098,"Grocery","10/26/2024"
6,24,5004,"Home","10/26/2024"
7,26,7828,"Sports","10/26/2024"
2,5,639,"Clothing","10/26/2025"
2,5,2266,"Electronics","10/26/2025"
6,15,5462,"Grocery","10/26/2025"
7,25,8443,"Home","10/26/2025"
1,3,396,"Sports","10/26/2025"
4,11,1734,"Clothing","10/27/2024"
2,4,961,"Electronics","10/27/2024"
7,21,3717,"Grocery","10/27/2024"
6,23,6663,"Home","10/27/2024"
3,15,4111,"Sports","10/27/2024"
4,8,1679,"Clothing","10/27/2025"
1,5,352,"Electronics","10/27/2025"
6,10,2904,"Grocery","10/27/2025"
3,10,1063,"Home","10/27/2025"
6,12,2516,"Sports","10/27/2025"
5,17,2646,"Clothing","10/28/2024"
3,8,1177,"Electronics","10/28/2024"
3,11,1416,"Grocery","10/28/2024"
4,16,4480,"Home","10/28/2024"
9,25,6778,"Sports","10/28/2024"
7,22,4499,"Clothing","10/28/2025"
4,13,3096,"Electronics","10/28/2025"
4,8,3039,"Grocery","10/28/2025"
3,6,1328,"Home","10/28/2025"
4,17,4557,"Sports","10/28/2025"
4,10,2893,"Clothing","10/29/2024"
2,8,2772,"Electronics","10/29/2024"
5,18,3453,"Grocery","10/29/2024"
6,19,4169,"Home","10/29/2024"
6,16,4380,"Sports","10/29/2024"
2,7,873,"Clothing","10/29/2025"
2,8,1306,"Electronics","10/29/2025"
2,3,642,"Grocery","10/29/2025"
6,18,5763,"Home","10/29/2025"
3,9,2622,"Sports","10/29/2025"
2,7,697,"Clothing","10/3/2024"
6,12,2742,"Electronics","10/3/2024"
4,12,3152,"Grocery","10/3/2024"
5,14,2224,"Home","10/3/2024"
3,7,2488,"Sports","10/3/2024"
2,10,1125,"Clothing","10/3/2025"
4,12,2731,"Electronics","10/3/2025"
5,14,3279,"Grocery","10/3/2025"
7,19,3259,"Home","10/3/2025"
5,15,5265,"Sports","10/3/2025"
9,31,6297,"Clothing","10/30/2024"
9,22,4218,"Electronics","10/30/2024"
4,18,4025,"Grocery","10/30/2024"
6,15,2859,"Home","10/30/2024"
3,9,2933,"Sports","10/30/2024"
1,3,310,"Clothing","10/30/2025"
4,11,2270,"Electronics","10/30/2025"
6,14,3571,"Grocery","10/30/2025"
6,14,2822,"Home","10/30/2025"
1,5,2026,"Sports","10/30/2025"
6,20,3750,"Clothing","10/31/2024"
4,9,1969,"Electronics","10/31/2024"
6,18,4181,"Grocery","10/31/2024"
5,15,3389,"Home","10/31/2024"
7,22,5612,"Sports","10/31/2024"
5,12,1499,"Clothing","10/31/2025"
5,18,4312,"Electronics","10/31/2025"
4,14,4408,"Grocery","10/31/2025"
6,21,5107,"Home","10/31/2025"
1,3,1280,"Sports","10/31/2025"
5,17,2340,"Clothing","10/4/2024"
5,9,1328,"Electronics","10/4/2024"
4,13,2721,"Grocery","10/4/2024"
3,7,614,"Home","10/4/2024"
6,21,5399,"Sports","10/4/2024"
1,4,523,"Clothing","10/4/2025"
1,3,1345,"Electronics","10/4/2025"
1,2,516,"Grocery","10/4/2025"
8,33,8509,"Home","10/4/2025"
4,12,1639,"Clothing","10/5/2024"
2,8,1497,"Electronics","10/5/2024"
7,26,4794,"Grocery","10/5/2024"
8,24,3304,"Home","10/5/2024"
3,6,1984,"Sports","10/5/2024"
5,17,2823,"Clothing","10/5/2025"
3,5,1534,"Electronics","10/5/2025"
2,3,734,"Grocery","10/5/2025"
3,12,3373,"Home","10/5/2025"
7,22,6211,"Sports","10/5/2025"
3,8,1345,"Clothing","10/6/2024"
2,5,1672,"Electronics","10/6/2024"
5,15,5304,"Grocery","10/6/2024"
2,10,2111,"Home","10/6/2024"
5,16,4817,"Sports","10/6/2024"
5,22,3115,"Clothing","10/6/2025"
4,11,3511,"Electronics","10/6/2025"
5,14,4130,"Grocery","10/6/2025"
8,24,6620,"Home","10/6/2025"
2,6,2063,"Sports","10/6/2025"
1,4,452,"Clothing","10/7/2024"
3,10,2046,"Electronics","10/7/2024"
8,23,5547,"Grocery","10/7/2024"
6,14,4960,"Home","10/7/2024"
5,14,3974,"Sports","10/7/2024"
6,20,2822,"Clothing","10/7/2025"
6,21,5989,"Electronics","10/7/2025"
4,10,2256,"Grocery","10/7/2025"
5,13,3799,"Home","10/7/2025"
4,11,1863,"Sports","10/7/2025"
4,9,2089,"Clothing","10/8/2024"
2,3,1231,"Electronics","10/8/2024"
6,10,2789,"Grocery","10/8/2024"
2,8,1696,"Home","10/8/2024"
6,20,6289,"Sports","10/8/2024"
1,4,814,"Clothing","10/8/2025"
2,8,1605,"Electronics","10/8/2025"
1,1,435,"Home","10/8/2025"
4,8,2353,"Sports","10/8/2025"
3,9,1226,"Clothing","10/9/2024"
4,14,2913,"Electronics","10/9/2024"
6,17,5509,"Grocery","10/9/2024"
6,19,2619,"Home","10/9/2024"
8,30,9331,"Sports","10/9/2024"
7,31,4400,"Clothing","10/9/2025"
4,12,3528,"Electronics","10/9/2025"
1,1,275,"Grocery","10/9/2025"
5,16,3688,"Home","10/9/2025"
1,5,1908,"Sports","10/9/2025"
4,8,1014,"Clothing","11/1/2024"
2,7,2252,"Electronics","11/1/2024"
2,2,30,"Grocery","11/1/2024"
3,14,2119,"Home","11/1/2024"
5,21,6314,"Sports","11/1/2024"
3,3,637,"Clothing","11/1/2025"
3,10,2945,"Electronics","11/1/2025"
5,9,978,"Grocery","11/1/2025"
3,11,3260,"Home","11/1/2025"
8,26,4736,"Sports","11/1/2025"
4,15,1813,"Electronics","11/10/2024"
5,13,3988,"Grocery","11/10/2024"
3,8,2775,"Home","11/10/2024"
4,13,1533,"Sports","11/10/2024"
2,8,1602,"Electronics","11/10/2025"
8,24,6206,"Grocery","11/10/2025"
7,18,2812,"Home","11/10/2025"
3,7,2515,"Sports","11/10/2025"
6,22,4231,"Clothing","11/11/2024"
2,4,1044,"Electronics","11/11/2024"
6,17,3538,"Grocery","11/11/2024"
10,25,5129,"Home","11/11/2024"
8,24,7032,"Sports","11/11/2024"
2,7,1275,"Clothing","11/11/2025"
7,16,4691,"Electronics","11/11/2025"
3,10,2347,"Grocery","11/11/2025"
5,21,5762,"Home","11/11/2025"
1,5,1435,"Sports","11/11/2025"
11,26,4313,"Clothing","11/12/2024"
4,17,1803,"Electronics","11/12/2024"
4,15,4610,"Grocery","11/12/2024"
10,31,8659,"Home","11/12/2024"
10,36,8470,"Sports","11/12/2024"
5,17,3295,"Clothing","11/12/2025"
2,8,2152,"Electronics","11/12/2025"
4,13,3652,"Home","11/12/2025"
5,16,3069,"Sports","11/12/2025"
8,28,4983,"Clothing","11/13/2024"
1,4,923,"Electronics","11/13/2024"
3,7,1673,"Grocery","11/13/2024"
10,34,7361,"Home","11/13/2024"
5,16,5349,"Sports","11/13/2024"
3,9,3440,"Electronics","11/13/2025"
1,2,57,"Home","11/13/2025"
8,26,4380,"Sports","11/13/2025"
2,2,251,"Clothing","11/14/2024"
4,17,2978,"Electronics","11/14/2024"
5,12,3064,"Grocery","11/14/2024"
3,6,1186,"Home","11/14/2024"
3,11,2333,"Sports","11/14/2024"
7,29,4979,"Clothing","11/14/2025"
2,6,662,"Electronics","11/14/2025"
6,17,5102,"Grocery","11/14/2025"
2,7,2054,"Home","11/14/2025"
2,3,293,"Sports","11/14/2025"
5,17,2694,"Clothing","11/15/2024"
6,20,5354,"Electronics","11/15/2024"
6,18,4359,"Grocery","11/15/2024"
17,56,16158,"Home","11/15/2024"
5,18,5638,"Sports","11/15/2024"
4,16,2012,"Clothing","11/15/2025"
5,9,1913,"Electronics","11/15/2025"
3,7,985,"Grocery","11/15/2025"
4,13,2209,"Home","11/15/2025"
1,5,957,"Sports","11/15/2025"
4,9,1286,"Clothing","11/16/2024"
7,28,6744,"Electronics","11/16/2024"
9,27,7261,"Grocery","11/16/2024"
4,11,2995,"Home","11/16/2024"
10,33,8308,"Sports","11/16/2024"
1,1,123,"Clothing","11/16/2025"
2,3,361,"Electronics","11/16/2025"
3,13,3666,"Grocery","11/16/2025"
9,29,8190,"Home","11/16/2025"
5,19,3703,"Sports","11/16/2025"
4,13,2283,"Clothing","11/17/2024"
7,21,5960,"Electronics","11/17/2024"
2,7,1024,"Grocery","11/17/2024"
8,25,4305,"Home","11/17/2024"
6,24,5859,"Sports","11/17/2024"
4,9,1787,"Clothing","11/17/2025"
1,4,1218,"Electronics","11/17/2025"
5,12,2777,"Grocery","11/17/2025"
7,16,3978,"Home","11/17/2025"
3,10,1702,"Sports","11/17/2025"
5,11,2453,"Clothing","11/18/2024"
